Date,Open,High,Low,Close,Adj Close,Volume
2024-03-18,68371.304688,68897.132813,66594.226563,67548.593750,67548.593750,49261579492
2024-03-19,67556.132813,68106.929688,61536.179688,61912.773438,61912.773438,74215844794
2024-03-20,61930.156250,68115.257813,60807.785156,67913.671875,67913.671875,66792634382
2024-03-21,67911.585938,68199.992188,64580.917969,65491.390625,65491.390625,44480350565
2024-03-22,65489.929688,66623.750000,62355.371094,63778.761719,63778.761719,41401116964
2024-03-23,63802.722656,65976.398438,63038.492188,64062.203125,64062.203125,24738964812
2024-03-24,64070.753906,67622.757813,63825.851563,67234.171875,67234.171875,27206630673
2024-03-25,67234.093750,71162.593750,66414.835938,69958.812500,69958.812500,42700139523
2024-03-26,69931.328125,71535.742188,69335.609375,69987.835938,69987.835938,36010437368
2024-03-27,69991.898438,71727.687500,68381.929688,69455.343750,69455.343750,40827113309
2024-03-28,69452.773438,71546.023438,68895.507813,70744.953125,70744.953125,34374900617
2024-03-29,70744.796875,70913.093750,69076.656250,69892.828125,69892.828125,25230851763
2024-03-30,69893.445313,70355.492188,69601.062500,69645.304688,69645.304688,17130241883
2024-03-31,69647.781250,71377.781250,69624.867188,71333.648438,71333.648438,20050941373
2024-04-01,71333.484375,71342.093750,68110.695313,69702.148438,69702.148438,34873527352
2024-04-02,69705.023438,69708.382813,64586.593750,65446.972656,65446.972656,50705240709
2024-04-03,65446.671875,66914.320313,64559.898438,65980.812500,65980.812500,34488018367
2024-04-04,65975.695313,69291.257813,65113.796875,68508.843750,68508.843750,34439527442
2024-04-05,68515.757813,68725.757813,66011.476563,67837.640625,67837.640625,33748230056
2024-04-06,67845.937500,68169.734375,67532.992188,67680.257813,67680.257813,25716189184
